"crop_name","category","growth_stage","material_type","material_name","quantity_per_acre","unit","application_time","cost_per_unit","purpose"
"Rice","Grain","Land Preparation","FERTILIZER","Lime","100","kg","Before planting","150","Soil improvement"
"Rice","Grain","Planting","SEED","Rice Seed","25","kg","Planting day","2500","Seed requirement"
"Rice","Grain","Vegetative","FERTILIZER","Urea","50","kg","20-30 days after planting","1200","Nitrogen supply"
"Rice","Grain","Vegetative","FERTILIZER","TSP","25","kg","15 days after planting","1800","Root development"
"Rice","Grain","Flowering","PESTICIDE","Insecticide","1","litre","Flowering stage","9000","Pest control"
"Corn","Cereal","Land Preparation","FERTILIZER","Lime","80","kg","Before planting","150","Soil preparation"
"Corn","Cereal","Planting","SEED","Corn Hybrid Seed","8","kg","Planting day","5000","Seed requirement"
"Corn","Cereal","Vegetative","FERTILIZER","Urea","60","kg","25 days after planting","1200","Nitrogen supply"
"Corn","Cereal","Vegetative","FERTILIZER","NPK 15-15-15","50","kg","20 days after planting","2200","Balanced nutrients"
"Corn","Cereal","Flowering","PESTICIDE","Pest Control Spray","1","litre","Flowering stage","8500","Pest protection"
"Wheat","Cereal","Planting","SEED","Wheat Seed","60","kg","Planting day","2000","Seed requirement"
"Wheat","Cereal","Vegetative","FERTILIZER","Urea","45","kg","30 days after planting","1200","Nitrogen supply"
"Wheat","Cereal","Vegetative","FERTILIZER","DAP Fertilizer","40","kg","Early growth","2500","Root growth"
"Wheat","Cereal","Pest Control","PESTICIDE","Fungicide","1","litre","Growth stage","10000","Disease prevention"
"Soybean","Legume","Planting","SEED","Soybean Seed","30","kg","Planting day","3500","Seed requirement"
"Soybean","Legume","Vegetative","FERTILIZER","NPK Fertilizer","40","kg","30 days after planting","2200","Nutrient supply"
"Soybean","Legume","Pest Control","PESTICIDE","Insecticide","1","litre","Flowering stage","9000","Pest control"
"Cotton","Fiber","Planting","SEED","Cotton Seed","8","kg","Planting day","4000","Seed requirement"
"Cotton","Fiber","Vegetative","FERTILIZER","Urea","50","kg","30 days after planting","1200","Nitrogen supply"
"Cotton","Fiber","Flowering","PESTICIDE","Insecticide","1","litre","Flowering stage","9000","Pest control"
"Tomato","Vegetable","Planting","SEED","Tomato Seed","0.2","kg","Planting day","25000","Seed requirement"
"Tomato","Vegetable","Vegetative","FERTILIZER","Compost","500","kg","Before planting","100","Organic fertilizer"
"Tomato","Vegetable","Fruiting","FERTILIZER","NPK 15-15-15","40","kg","Fruit stage","2200","Fruit development"
"Tomato","Vegetable","Pest Control","PESTICIDE","Fungicide","2","litre","Weekly spray","8000","Disease prevention"
"Mango","Fruit","Planting","SEEDLING","Mango Seedling","40","tree","Planting season","5000","Planting material"
"Mango","Fruit","Growth","FERTILIZER","Organic Compost","20","kg","Monthly","100","Plant nutrition"
"Mango","Fruit","Fruiting","FERTILIZER","NPK Fertilizer","5","kg","Fruit season","2200","Fruit production"
